unit,shown_pref,weight_pref,choice_pref
0,165.0,130.0,60.0
1,235.0,245.0,230.0
2,0.0,210.0,0.0
3,325.0,5.0,345.0
4,0.0,165.0,0.0
5,220.0,255.0,240.0
6,35.0,45.0,45.0
7,225.0,250.0,260.0
8,145.0,140.0,150.0
9,115.0,75.0,100.0
10,120.0,80.0,95.0
11,0.0,195.0,0.0
12,150.0,190.0,180.0
13,255.0,295.0,280.0
14,90.0,130.0,120.0
15,0.0,210.0,0.0
16,265.0,240.0,230.0
17,240.0,280.0,275.0
18,50.0,30.0,35.0
19,140.0,95.0,95.0
20,155.0,250.0,95.0
21,280.0,325.0,315.0
22,0.0,5.0,0.0
23,110.0,70.0,75.0
24,60.0,100.0,65.0
25,125.0,160.0,130.0
26,160.0,180.0,190.0
27,155.0,195.0,160.0
28,280.0,105.0,315.0
29,160.0,145.0,200.0
30,0.0,5.0,0.0
31,340.0,350.0,345.0
32,0.0,145.0,0.0
33,130.0,105.0,95.0
34,205.0,240.0,240.0
35,30.0,70.0,50.0
36,0.0,105.0,0.0
37,35.0,50.0,50.0
38,100.0,110.0,105.0
39,0.0,95.0,0.0
40,0.0,320.0,0.0
41,0.0,165.0,0.0
42,35.0,350.0,0.0
43,270.0,235.0,235.0
44,245.0,210.0,210.0
45,210.0,170.0,175.0
46,0.0,95.0,0.0
47,0.0,355.0,0.0
48,0.0,100.0,0.0
49,0.0,330.0,0.0
50,190.0,190.0,185.0
51,0.0,275.0,0.0
52,75.0,50.0,85.0
53,335.0,295.0,300.0
54,45.0,15.0,15.0
55,0.0,270.0,0.0
56,130.0,170.0,95.0
57,245.0,285.0,275.0
58,80.0,90.0,60.0
59,185.0,230.0,215.0
60,0.0,270.0,0.0
61,0.0,105.0,0.0
62,0.0,40.0,20.0
63,60.0,30.0,65.0
64,310.0,185.0,340.0
65,0.0,60.0,0.0
66,0.0,90.0,0.0
67,325.0,280.0,290.0
68,140.0,125.0,115.0
69,0.0,100.0,0.0
70,165.0,150.0,150.0
71,305.0,285.0,305.0
72,265.0,225.0,230.0
73,110.0,90.0,85.0
74,180.0,220.0,215.0
75,95.0,50.0,60.0
76,230.0,220.0,230.0
77,355.0,30.0,355.0
78,250.0,170.0,280.0
79,335.0,225.0,345.0
80,215.0,180.0,195.0
81,120.0,145.0,145.0
82,0.0,10.0,0.0
83,345.0,25.0,20.0
84,190.0,220.0,165.0
85,240.0,200.0,210.0
86,100.0,135.0,105.0
87,0.0,20.0,0.0
88,85.0,120.0,120.0
89,165.0,170.0,150.0
90,0.0,40.0,0.0
91,25.0,60.0,25.0
92,75.0,75.0,65.0
93,265.0,265.0,270.0
94,0.0,75.0,0.0
95,0.0,100.0,0.0
96,0.0,240.0,0.0
97,10.0,345.0,350.0
98,170.0,185.0,130.0
99,0.0,5.0,0.0
100,310.0,345.0,305.0
101,0.0,0.0,0.0
102,235.0,205.0,205.0
103,295.0,250.0,255.0
104,300.0,335.0,330.0
105,265.0,305.0,295.0
106,340.0,325.0,305.0
107,0.0,100.0,0.0
108,0.0,5.0,0.0
109,0.0,320.0,325.0
110,0.0,350.0,0.0
111,300.0,345.0,330.0
112,345.0,310.0,10.0
113,315.0,355.0,305.0
114,5.0,330.0,350.0
115,35.0,0.0,25.0
116,275.0,315.0,315.0
117,195.0,220.0,220.0
118,175.0,135.0,150.0
119,155.0,115.0,140.0
120,245.0,,230.0
121,325.0,,305.0
122,0.0,,345.0
123,60.0,,65.0
124,45.0,,325.0
125,130.0,,115.0
126,275.0,,260.0
127,350.0,,350.0
128,115.0,,65.0
129,140.0,,95.0
130,50.0,,65.0
131,85.0,,65.0
132,220.0,,10.0
133,40.0,,55.0
134,10.0,,25.0
135,90.0,,240.0
136,80.0,,85.0
137,165.0,,150.0
138,210.0,,165.0
139,260.0,,230.0
140,130.0,,95.0
141,130.0,,95.0
142,230.0,,205.0
143,65.0,,65.0
144,30.0,,145.0
145,185.0,,230.0
146,215.0,,105.0
147,185.0,,165.0
148,295.0,,285.0
149,315.0,,340.0
