unit,shown_pref,weight_pref
0,165.0,70.0
1,325.0,345.0
2,120.0,145.0
3,205.0,50.0
4,255.0,270.0
5,5.0,25.0
6,85.0,70.0
7,35.0,50.0
8,275.0,90.0
9,180.0,170.0
10,245.0,270.0
11,0.0,335.0
12,65.0,20.0
13,60.0,85.0
14,270.0,295.0
15,0.0,165.0
16,70.0,65.0
17,295.0,60.0
18,40.0,290.0
19,0.0,15.0
20,330.0,320.0
21,110.0,115.0
22,260.0,290.0
23,125.0,310.0
24,210.0,205.0
25,205.0,195.0
26,0.0,5.0
27,180.0,170.0
28,0.0,130.0
29,165.0,220.0
30,190.0,175.0
31,220.0,195.0
32,15.0,20.0
33,125.0,80.0
34,90.0,85.0
35,180.0,220.0
36,330.0,305.0
37,105.0,100.0
38,215.0,185.0
39,185.0,190.0
40,130.0,115.0
41,230.0,200.0
42,5.0,10.0
43,0.0,210.0
44,0.0,115.0
45,240.0,210.0
46,75.0,105.0
47,40.0,40.0
48,180.0,160.0
49,0.0,55.0
50,305.0,305.0
51,10.0,170.0
52,160.0,230.0
53,5.0,220.0
54,0.0,60.0
55,265.0,250.0
56,125.0,135.0
57,40.0,350.0
58,150.0,140.0
59,335.0,320.0
60,265.0,265.0
61,300.0,295.0
62,0.0,125.0
63,230.0,245.0
64,0.0,210.0
65,130.0,140.0
66,205.0,195.0
67,135.0,135.0
68,260.0,270.0
69,20.0,15.0
70,40.0,105.0
71,0.0,30.0
72,340.0,355.0
73,5.0,140.0
74,90.0,85.0
75,95.0,45.0
76,345.0,345.0
77,210.0,215.0
78,320.0,310.0
79,175.0,180.0
80,310.0,300.0
81,40.0,205.0
82,155.0,170.0
83,0.0,10.0
84,105.0,70.0
85,5.0,195.0
86,20.0,10.0
87,85.0,125.0
88,305.0,305.0
89,25.0,20.0
90,5.0,280.0
91,100.0,105.0
92,265.0,295.0
93,45.0,80.0
94,220.0,255.0
95,50.0,60.0
96,10.0,25.0
97,280.0,80.0
98,300.0,300.0
99,275.0,280.0
100,0.0,260.0
101,260.0,235.0
102,240.0,230.0
103,40.0,115.0
104,340.0,345.0
105,145.0,280.0
106,320.0,45.0
107,30.0,15.0
108,255.0,255.0
109,300.0,15.0
110,205.0,205.0
111,245.0,70.0
112,270.0,245.0
113,350.0,345.0
114,130.0,135.0
115,140.0,155.0
116,110.0,110.0
117,90.0,55.0
118,220.0,225.0
119,15.0,20.0
120,70.0,
121,260.0,
122,145.0,
123,280.0,
124,300.0,
125,225.0,
126,240.0,
127,155.0,
128,15.0,
129,95.0,
130,155.0,
131,250.0,
132,15.0,
133,25.0,
134,30.0,
135,75.0,
136,275.0,
137,15.0,
138,155.0,
139,240.0,
140,5.0,
141,225.0,
142,75.0,
143,165.0,
144,60.0,
145,330.0,
146,60.0,
147,260.0,
148,5.0,
149,330.0,
